Case_ID,Age_Group,Gender,Income_Bracket,Vulnerability_Category,Case_Type,Case_Sub_Type,Jurisdiction_Level,Legal_Aid_Modality,State,Filing_Year,Hearing_Count,Adjournment_Count,Resolution_Time,Delay_Flag,Outcome_Disparity,Aid_Disparity
66,18-25,Female,Below_Poverty_Line,Minority,Labor/Employment,Workplace_Harassment,High_Court,Pro_Bono,State_27,2021,6,1,≤3 mo,0,1,1
67,26-35,Other,Unknown,Minority,Criminal,Appeal,Supreme_Court,Pro_Bono,UT_5,2020,6,1,3–6 mo,0,0,0
68,65+,Other,High_Income,Minority,Labor/Employment,Workplace_Harassment,Supreme_Court,Pro_Bono,State_22,2022,2,1,3–6 mo,0,1,0
69,26-35,Other,Low_Income,None,Labor/Employment,Wages,Supreme_Court,Full_Aid,State_21,2023,6,0,3–6 mo,0,0,0
70,26-35,Female,Below_Poverty_Line,Minority,Civil,Consumer,District,Self_Represented,State_7,2022,4,4,≤3 mo,0,0,0
71,26-35,Male,High_Income,Senior_Citizen,Property_Dispute,Tenant_Landlord,Supreme_Court,Full_Aid,State_22,2023,5,1,3–6 mo,0,0,0
72,51-65,Other,Below_Poverty_Line,None,Criminal,Acquittal,High_Court,Partial_Aid,State_6,2021,3,4,6–12 mo,0,0,1
73,26-35,Other,Middle_Income,SC/ST,Criminal,Appeal,District,Pro_Bono,State_23,2020,7,2,≤3 mo,0,0,0
74,26-35,Male,Low_Income,SC/ST,Civil,Family,State,Self_Represented,State_10,2019,4,0,3–6 mo,0,1,0
75,51-65,Female,Unknown,Minority,Criminal,Sentencing,High_Court,Pro_Bono,State_28,2023,4,1,>24 mo,1,1,0
76,51-65,Male,Low_Income,Person_with_Disability,Civil,Consumer,High_Court,Pro_Bono,State_2,2023,2,3,≤3 mo,0,0,0
77,18-25,Other,High_Income,Senior_Citizen,Domestic_Violence,Divorce,State,Partial_Aid,State_17,2023,8,2,6–12 mo,0,0,1
78,18-25,Other,Below_Poverty_Line,Senior_Citizen,Labor/Employment,Wages,High_Court,Partial_Aid,State_6,2020,5,2,>24 mo,1,1,1
79,65+,Female,Unknown,None,Property_Dispute,Land_Dispute,High_Court,Self_Represented,State_19,2023,10,2,≤3 mo,0,0,1
80,26-35,Other,High_Income,None,Property_Dispute,Land_Dispute,Supreme_Court,Full_Aid,State_17,2022,10,5,>24 mo,1,0,0
81,65+,Female,Middle_Income,SC/ST,Other,Miscellaneous,Supreme_Court,Full_Aid,UT_8,2020,3,3,≤3 mo,0,0,0
82,51-65,Other,Middle_Income,Person_with_Disability,Criminal,Acquittal,District,Full_Aid,State_20,2021,3,2,12-24 mo,1,0,1
83,51-65,Female,Unknown,Person_with_Disability,Civil,Tort,Supreme_Court,Full_Aid,UT_4,2022,6,2,3–6 mo,0,1,0
84,51-65,Female,Low_Income,Senior_Citizen,Criminal,Appeal,High_Court,Full_Aid,State_26,2020,6,6,12-24 mo,1,0,0
85,18-25,Other,Low_Income,None,Criminal,Bail,High_Court,Partial_Aid,State_9,2022,6,2,12-24 mo,1,0,0
86,26-35,Female,Low_Income,None,Criminal,Appeal,State,Partial_Aid,UT_7,2020,4,2,≤3 mo,0,0,1
87,18-25,Female,Low_Income,None,Property_Dispute,Land_Dispute,State,Pro_Bono,State_4,2019,9,1,6–12 mo,0,1,1
88,51-65,Female,Unknown,None,Criminal,Sentencing,State,Full_Aid,UT_6,2020,7,1,≤3 mo,0,1,0
89,51-65,Female,Below_Poverty_Line,Person_with_Disability,Other,Miscellaneous,District,Full_Aid,State_21,2022,4,2,12-24 mo,1,0,0
90,65+,Other,Middle_Income,Person_with_Disability,Civil,Consumer,Supreme_Court,Self_Represented,State_7,2023,4,2,12-24 mo,1,0,0
91,51-65,Female,High_Income,Person_with_Disability,Labor/Employment,Workplace_Harassment,District,Pro_Bono,State_28,2020,5,3,3–6 mo,0,0,0
92,51-65,Male,Below_Poverty_Line,SC/ST,Criminal,Sentencing,District,Pro_Bono,State_9,2022,2,4,>24 mo,1,0,0
93,51-65,Other,Below_Poverty_Line,Senior_Citizen,Civil,Consumer,High_Court,Full_Aid,UT_5,2019,3,3,>24 mo,1,0,1
94,65+,Female,Below_Poverty_Line,Senior_Citizen,Civil,Tort,Supreme_Court,Full_Aid,State_18,2018,3,5,>24 mo,1,0,0
95,26-35,Male,Unknown,Person_with_Disability,Criminal,Acquittal,District,Full_Aid,UT_6,2019,1,0,3–6 mo,0,0,0
96,36-50,Other,Unknown,SC/ST,Criminal,Acquittal,State,Full_Aid,State_6,2020,6,1,3–6 mo,0,1,0
97,36-50,Male,Unknown,SC/ST,Property_Dispute,Property_Division,District,Pro_Bono,UT_4,2022,10,4,≤3 mo,0,1,0
98,18-25,Male,Low_Income,Senior_Citizen,Domestic_Violence,Maintenance,High_Court,Pro_Bono,State_21,2018,5,3,>24 mo,1,1,0
99,26-35,Other,Unknown,Senior_Citizen,Criminal,Sentencing,District,Self_Represented,State_2,2021,4,3,3–6 mo,0,0,0
100,51-65,Female,Below_Poverty_Line,Person_with_Disability,Criminal,Appeal,State,Self_Represented,State_24,2018,8,3,≤3 mo,0,1,0
101,65+,Male,High_Income,Senior_Citizen,Other,Miscellaneous,State,Pro_Bono,State_11,2018,3,1,≤3 mo,0,0,0
102,36-50,Female,Low_Income,Minority,Criminal,Acquittal,High_Court,Partial_Aid,State_12,2022,7,0,12-24 mo,1,1,0
103,51-65,Female,Unknown,None,Labor/Employment,Workplace_Harassment,High_Court,Pro_Bono,State_10,2021,3,3,>24 mo,1,0,0
104,65+,Male,Middle_Income,None,Criminal,Appeal,Supreme_Court,Self_Represented,State_3,2018,7,2,3–6 mo,0,1,0
105,18-25,Other,Unknown,None,Labor/Employment,Unfair_Dismissal,District,Self_Represented,State_13,2020,4,5,6–12 mo,0,1,1
106,18-25,Female,Below_Poverty_Line,None,Other,Miscellaneous,District,Partial_Aid,UT_1,2021,5,6,6–12 mo,0,1,1
107,36-50,Female,High_Income,Senior_Citizen,Other,Miscellaneous,High_Court,Full_Aid,State_22,2018,9,2,3–6 mo,0,1,0
108,65+,Male,Middle_Income,SC/ST,Civil,Tort,High_Court,Pro_Bono,State_26,2019,4,2,≤3 mo,0,1,0
109,36-50,Male,Unknown,SC/ST,Other,Miscellaneous,High_Court,Full_Aid,State_24,2020,5,1,12-24 mo,1,1,0
110,26-35,Male,Low_Income,Minority,Criminal,Appeal,District,Full_Aid,State_22,2022,9,4,>24 mo,1,1,0
111,65+,Male,High_Income,SC/ST,Labor/Employment,Unfair_Dismissal,State,Self_Represented,State_19,2023,3,1,≤3 mo,0,0,0
112,51-65,Male,Middle_Income,None,Labor/Employment,Unfair_Dismissal,High_Court,Self_Represented,UT_5,2022,2,3,≤3 mo,0,0,0
113,26-35,Female,Below_Poverty_Line,Person_with_Disability,Property_Dispute,Tenant_Landlord,District,Full_Aid,State_19,2018,9,6,3–6 mo,0,0,0
114,51-65,Male,Low_Income,Person_with_Disability,Property_Dispute,Land_Dispute,Supreme_Court,Full_Aid,State_26,2022,5,2,>24 mo,1,0,0
115,18-25,Female,Below_Poverty_Line,Senior_Citizen,Domestic_Violence,Maintenance,District,Pro_Bono,UT_3,2023,13,4,6–12 mo,0,0,0
116,18-25,Male,Middle_Income,Minority,Domestic_Violence,Child_Custody,District,Pro_Bono,State_16,2020,7,2,12-24 mo,1,1,0
117,51-65,Male,Below_Poverty_Line,Person_with_Disability,Civil,Contract,State,Partial_Aid,State_19,2021,5,3,>24 mo,1,1,0
118,18-25,Other,Middle_Income,SC/ST,Civil,Contract,Supreme_Court,Self_Represented,State_3,2023,7,8,3–6 mo,0,1,1
119,18-25,Female,Low_Income,SC/ST,Civil,Consumer,State,Full_Aid,State_23,2022,5,1,6–12 mo,0,1,0
120,51-65,Other,High_Income,Minority,Domestic_Violence,Protection_Order,Supreme_Court,Full_Aid,State_19,2019,6,3,12-24 mo,1,0,0
121,36-50,Other,High_Income,None,Labor/Employment,Unfair_Dismissal,District,Partial_Aid,State_19,2020,6,4,≤3 mo,0,0,0
122,18-25,Female,High_Income,Person_with_Disability,Other,Miscellaneous,Supreme_Court,Pro_Bono,State_12,2021,3,0,3–6 mo,0,0,0
123,18-25,Other,High_Income,SC/ST,Labor/Employment,Workplace_Harassment,State,Pro_Bono,State_21,2018,6,0,>24 mo,1,1,0
124,51-65,Male,High_Income,Senior_Citizen,Labor/Employment,Wages,High_Court,Self_Represented,State_18,2023,2,2,≤3 mo,0,1,0
125,36-50,Other,Low_Income,SC/ST,Domestic_Violence,Child_Custody,District,Partial_Aid,State_5,2019,5,2,3–6 mo,0,1,0
126,18-25,Other,Low_Income,Person_with_Disability,Property_Dispute,Property_Division,Supreme_Court,Full_Aid,State_9,2022,10,1,>24 mo,1,0,0
127,18-25,Male,Low_Income,Person_with_Disability,Civil,Family,District,Pro_Bono,State_17,2023,5,0,6–12 mo,0,0,0
128,51-65,Male,Below_Poverty_Line,Minority,Criminal,Sentencing,State,Self_Represented,State_6,2023,10,2,3–6 mo,0,0,0
129,65+,Other,Middle_Income,Senior_Citizen,Domestic_Violence,Maintenance,High_Court,Partial_Aid,State_8,2019,5,2,≤3 mo,0,0,1
130,65+,Other,Middle_Income,Person_with_Disability,Civil,Tort,District,Full_Aid,State_20,2021,5,0,6–12 mo,0,0,0
131,51-65,Other,Below_Poverty_Line,Minority,Property_Dispute,Tenant_Landlord,District,Self_Represented,UT_2,2023,8,3,12-24 mo,1,0,0
132,65+,Male,Low_Income,Person_with_Disability,Civil,Contract,District,Partial_Aid,State_20,2019,6,0,12-24 mo,1,0,0
133,36-50,Male,Middle_Income,Minority,Other,Miscellaneous,State,Pro_Bono,UT_7,2018,3,0,≤3 mo,0,0,0
134,26-35,Other,Unknown,None,Property_Dispute,Tenant_Landlord,District,Full_Aid,State_6,2018,7,0,6–12 mo,0,1,0
135,65+,Female,Unknown,SC/ST,Labor/Employment,Workplace_Harassment,High_Court,Pro_Bono,UT_3,2019,3,5,6–12 mo,0,1,0
136,18-25,Male,High_Income,Person_with_Disability,Labor/Employment,Unfair_Dismissal,State,Pro_Bono,State_10,2020,5,3,3–6 mo,0,0,0
137,51-65,Male,Middle_Income,None,Civil,Contract,High_Court,Partial_Aid,UT_2,2018,5,2,12-24 mo,1,1,1
138,51-65,Other,High_Income,Minority,Domestic_Violence,Divorce,High_Court,Partial_Aid,State_11,2021,7,0,3–6 mo,0,1,0
139,18-25,Male,High_Income,None,Labor/Employment,Wages,State,Pro_Bono,State_4,2018,7,2,>24 mo,1,0,1
140,18-25,Female,Low_Income,Senior_Citizen,Other,Miscellaneous,Supreme_Court,Pro_Bono,State_3,2021,7,2,12-24 mo,1,0,0
141,51-65,Other,High_Income,None,Property_Dispute,Tenant_Landlord,District,Partial_Aid,State_7,2021,9,2,>24 mo,1,0,0
142,26-35,Male,Unknown,None,Labor/Employment,Workplace_Harassment,District,Full_Aid,State_3,2019,5,2,3–6 mo,0,0,1
143,65+,Male,Middle_Income,None,Property_Dispute,Land_Dispute,Supreme_Court,Pro_Bono,State_22,2022,7,1,6–12 mo,0,0,0
144,51-65,Male,Middle_Income,Senior_Citizen,Other,Miscellaneous,Supreme_Court,Pro_Bono,State_2,2022,5,1,6–12 mo,0,0,0
145,65+,Male,Below_Poverty_Line,None,Labor/Employment,Wages,Supreme_Court,Partial_Aid,State_16,2018,7,2,6–12 mo,0,1,1
146,36-50,Female,Low_Income,Person_with_Disability,Other,Miscellaneous,Supreme_Court,Self_Represented,State_4,2023,2,2,12-24 mo,1,0,0
147,51-65,Other,High_Income,Senior_Citizen,Domestic_Violence,Child_Custody,High_Court,Pro_Bono,State_17,2022,4,4,≤3 mo,0,0,0
148,36-50,Female,Low_Income,Person_with_Disability,Property_Dispute,Property_Division,High_Court,Pro_Bono,State_19,2018,4,2,>24 mo,1,0,0
149,36-50,Male,Middle_Income,SC/ST,Property_Dispute,Tenant_Landlord,District,Pro_Bono,UT_1,2023,9,4,3–6 mo,0,1,0
150,36-50,Other,Middle_Income,Minority,Criminal,Acquittal,State,Full_Aid,UT_6,2019,7,0,≤3 mo,0,1,0
151,51-65,Male,Low_Income,SC/ST,Civil,Tort,Supreme_Court,Self_Represented,UT_3,2023,5,4,>24 mo,1,1,0
152,18-25,Other,Unknown,Minority,Civil,Contract,State,Self_Represented,State_12,2018,7,1,3–6 mo,0,0,0
153,36-50,Male,Below_Poverty_Line,Senior_Citizen,Civil,Contract,High_Court,Pro_Bono,UT_2,2023,5,3,3–6 mo,0,0,1
154,65+,Female,Middle_Income,Minority,Criminal,Appeal,State,Self_Represented,State_17,2023,7,0,>24 mo,1,0,0
155,26-35,Male,Unknown,Person_with_Disability,Labor/Employment,Workplace_Harassment,High_Court,Full_Aid,State_26,2023,7,2,12-24 mo,1,0,0
156,18-25,Female,High_Income,Minority,Labor/Employment,Unfair_Dismissal,High_Court,Pro_Bono,State_1,2020,5,2,6–12 mo,0,1,0
157,51-65,Female,Low_Income,Person_with_Disability,Other,Miscellaneous,District,Pro_Bono,State_24,2022,4,2,12-24 mo,1,0,0
158,65+,Female,High_Income,None,Labor/Employment,Workplace_Harassment,State,Partial_Aid,State_6,2022,3,1,6–12 mo,0,0,0
159,18-25,Male,Unknown,None,Domestic_Violence,Maintenance,State,Pro_Bono,UT_6,2021,3,4,12-24 mo,1,0,0
160,65+,Female,Below_Poverty_Line,Person_with_Disability,Domestic_Violence,Child_Custody,Supreme_Court,Full_Aid,UT_8,2021,13,6,>24 mo,1,0,0
161,18-25,Other,Low_Income,None,Criminal,Bail,Supreme_Court,Pro_Bono,State_5,2022,6,1,≤3 mo,0,0,0
162,36-50,Female,Low_Income,Minority,Other,Miscellaneous,High_Court,Self_Represented,UT_1,2021,5,2,6–12 mo,0,0,0
163,26-35,Other,Middle_Income,SC/ST,Domestic_Violence,Child_Custody,State,Partial_Aid,State_1,2018,6,0,3–6 mo,0,0,0
164,65+,Female,Low_Income,Minority,Labor/Employment,Unfair_Dismissal,State,Pro_Bono,State_13,2023,3,0,≤3 mo,0,0,0
165,18-25,Male,Low_Income,SC/ST,Criminal,Bail,Supreme_Court,Full_Aid,State_16,2023,3,1,>24 mo,1,1,0
166,18-25,Male,Unknown,Senior_Citizen,Domestic_Violence,Divorce,High_Court,Partial_Aid,State_20,2019,3,4,6–12 mo,0,1,0
167,18-25,Other,Unknown,Minority,Other,Miscellaneous,Supreme_Court,Full_Aid,State_23,2023,6,2,6–12 mo,0,1,0
168,26-35,Female,High_Income,Minority,Civil,Family,State,Partial_Aid,State_20,2023,3,2,>24 mo,1,0,0
169,51-65,Other,Unknown,Minority,Labor/Employment,Wages,High_Court,Partial_Aid,State_22,2023,5,6,>24 mo,1,0,1
170,26-35,Male,Middle_Income,Person_with_Disability,Other,Miscellaneous,District,Partial_Aid,UT_8,2019,5,1,3–6 mo,0,0,0
171,26-35,Male,Below_Poverty_Line,Person_with_Disability,Domestic_Violence,Maintenance,Supreme_Court,Partial_Aid,UT_8,2020,6,6,3–6 mo,0,0,0
172,36-50,Female,Middle_Income,None,Labor/Employment,Unfair_Dismissal,District,Self_Represented,State_21,2019,8,1,3–6 mo,0,1,0
173,26-35,Male,Middle_Income,None,Civil,Family,High_Court,Partial_Aid,State_13,2020,8,1,12-24 mo,1,0,0
174,36-50,Female,High_Income,Person_with_Disability,Labor/Employment,Wages,High_Court,Partial_Aid,State_9,2023,3,0,≤3 mo,0,0,0
175,18-25,Other,Below_Poverty_Line,SC/ST,Other,Miscellaneous,District,Self_Represented,State_9,2023,6,3,12-24 mo,1,1,0
176,36-50,Male,Unknown,None,Labor/Employment,Workplace_Harassment,Supreme_Court,Full_Aid,State_1,2022,3,2,≤3 mo,0,1,0
177,65+,Female,Below_Poverty_Line,None,Other,Miscellaneous,State,Full_Aid,State_7,2022,5,2,12-24 mo,1,0,0
178,36-50,Female,High_Income,SC/ST,Property_Dispute,Property_Division,Supreme_Court,Partial_Aid,State_15,2020,10,2,≤3 mo,0,0,0
179,18-25,Male,High_Income,Person_with_Disability,Labor/Employment,Workplace_Harassment,Supreme_Court,Full_Aid,State_1,2023,5,2,>24 mo,1,0,0
180,36-50,Other,Below_Poverty_Line,None,Criminal,Acquittal,State,Self_Represented,State_18,2018,3,1,6–12 mo,0,0,0
181,65+,Other,Below_Poverty_Line,Minority,Property_Dispute,Land_Dispute,State,Partial_Aid,State_26,2018,9,3,12-24 mo,1,0,0
182,65+,Female,High_Income,Minority,Other,Miscellaneous,High_Court,Full_Aid,State_7,2021,7,4,12-24 mo,1,1,0
183,65+,Female,Middle_Income,SC/ST,Other,Miscellaneous,Supreme_Court,Self_Represented,State_15,2020,4,5,3–6 mo,0,1,0
184,51-65,Male,Unknown,Senior_Citizen,Domestic_Violence,Protection_Order,District,Pro_Bono,State_10,2021,5,0,6–12 mo,0,1,0
185,36-50,Male,Below_Poverty_Line,SC/ST,Property_Dispute,Property_Division,High_Court,Pro_Bono,State_7,2019,3,5,>24 mo,1,1,0
186,51-65,Male,Below_Poverty_Line,SC/ST,Property_Dispute,Tenant_Landlord,District,Pro_Bono,State_25,2018,6,4,>24 mo,1,0,0
187,65+,Male,Unknown,None,Domestic_Violence,Child_Custody,State,Partial_Aid,State_18,2020,4,2,≤3 mo,0,1,0
188,51-65,Female,High_Income,SC/ST,Property_Dispute,Property_Division,State,Self_Represented,State_13,2021,9,5,>24 mo,1,1,0
189,65+,Female,Middle_Income,Person_with_Disability,Property_Dispute,Property_Division,State,Pro_Bono,State_21,2022,9,0,≤3 mo,0,0,0
190,51-65,Female,Middle_Income,Person_with_Disability,Civil,Tort,High_Court,Self_Represented,State_18,2021,9,5,6–12 mo,0,1,0
191,26-35,Other,Unknown,SC/ST,Other,Miscellaneous,State,Self_Represented,State_19,2023,4,0,>24 mo,1,0,1
192,36-50,Male,Middle_Income,Minority,Other,Miscellaneous,Supreme_Court,Full_Aid,UT_1,2022,7,2,3–6 mo,0,0,0
193,51-65,Other,Below_Poverty_Line,Senior_Citizen,Other,Miscellaneous,District,Partial_Aid,State_23,2019,6,4,≤3 mo,0,0,0
194,51-65,Female,High_Income,SC/ST,Criminal,Bail,High_Court,Partial_Aid,UT_5,2023,5,3,6–12 mo,0,0,0
195,36-50,Female,High_Income,None,Other,Miscellaneous,High_Court,Full_Aid,UT_3,2018,3,2,≤3 mo,0,1,0
196,26-35,Female,Middle_Income,Senior_Citizen,Labor/Employment,Wages,Supreme_Court,Pro_Bono,UT_3,2018,9,1,6–12 mo,0,0,1
